2026-07-07 11:28:56 | INFO    | Authenticating to SAP IS tenant (PRD)
2026-07-07 11:28:56 | INFO    | Authenticated OK
2026-07-07 11:28:57 | INFO    | Found 949 integration package(s) on tenant
2026-07-07 11:28:57 | INFO    | Package filter applied: 1 of 949 package(s) selected
2026-07-07 11:28:57 | INFO    | New package version detected: AAA  (none) -> 1.0.0
2026-07-07 11:29:04 | WARNING | Whole-package export failed for 'AAA' (HTTP 500) - skipping package-level zip this run; individual artifact sync is unaffected. 500 Server Error: Internal Server Error for url: https://inccpidev.it-cpi001.cfapps.eu10.hana.ondemand.com/api/v1/IntegrationPackages('AAA')/$value
2026-07-07 11:29:10 | WARNING | SecurityMaterials API not available on this tenant/plan - skipping certificate inventory
2026-07-07 11:29:10 | INFO    | Sync summary: 0 synced, 7 forward drift, 0 reverse drift, 0 cert warning(s)
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [test]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [WK_TEST_2]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [Reusable_Notification_Framework]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [Reusable_Retry_Framework]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [Persist_Payload_Process]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [Demo_-_Order_Create_S4_to_External_OMS]
2026-07-07 11:29:10 | WARNING | FORWARD DRIFT: SAP IS content checksum changed without a version increment - artifact may have been saved without creating a new version. [WK_TEST_1]
